station,year,field,n,order,score,coverage,gram_cond,design_cond,day_score,n_days_checked,gate,worst_param,amp_image,amp_raw
01001099999,2024,TMP,6039,24,3.5328048194230136e-13,2.2255094485259953e-13,107.17163963137371,862.3842565737469,7.930351568732773e-14,1,ok,c,5.29159012671282,5.291590126712851
01001499999,2024,TMP,6685,24,3.3528837235146194e-12,2.2255094485259953e-13,90.71125796615318,1042.1002420723337,,0,ok,b2,6.764597739257508,6.764597739257563
01002099999,2024,TMP,1356,24,2.7601270863192743e-14,2.2255094485259953e-13,51.215852300320904,936.0612080180558,,0,ok,b2,9.424362899432117,9.424362899432094
01003099999,2024,TMP,3707,24,2.991680202681458e-14,2.2255094485259953e-13,58.499317454217795,1000.7115597785256,,0,ok,b2,8.036498507446684,8.036498507446666
01006099999,2024,TMP,1422,24,3.215211909656882e-14,2.2255094485259953e-13,53.68488840462259,946.9021251021363,,0,ok,v,8.548264406650354,8.54826440665035
01007099999,2024,TMP,2834,24,4.1530352089813727e-14,2.2255094485259953e-13,52.37507568213006,926.0312562775606,,0,ok,v,9.175763646261482,9.175763646261482
01008099999,2024,TMP,19003,24,9.961395073109903e-14,2.2255094485259953e-13,52.17377023591077,917.8321755347478,4.172916305496731e-13,7,ok,v,10.117035760062167,10.117035760062148
01009099999,2024,TMP,1418,24,4.1189809871497285e-13,2.2255094485259953e-13,51.49090098958744,925.8053087793365,,0,ok,a2,8.077841392924512,8.077841392924554
01010099999,2024,TMP,19900,24,1.453731668933447e-13,2.2255094485259953e-13,52.252510496365254,915.1443925086061,4.631755867253421e-13,7,ok,b2,7.4599759684373845,7.459975968437441
01011099999,2024,TMP,1393,24,6.93638033111657e-14,2.2255094485259953e-13,52.29644919976273,929.5572598907479,,0,ok,b2,9.10909247622251,9.109092476222573
01015099999,2024,TMP,7529,24,1.3530788628589783e-13,2.2255094485259953e-13,472.1264919382963,951.189576812014,4.894128547346012e-13,1,ok,b2,8.087141282320843,8.087141282320916
01016099999,2024,TMP,1424,24,4.828807819883877e-14,2.2255094485259953e-13,52.126141110928145,903.5309002122248,,0,ok,v,8.402550601618444,8.402550601618444
01017099999,2024,TMP,1439,24,4.783868465211052e-13,2.2255094485259953e-13,50.70246861157513,926.041898802154,,0,ok,v,9.208697166774233,9.20869716677423
01020099999,2024,TMP,1311,24,2.063150414248839e-14,2.2255094485259953e-13,58.23997803719441,904.1080650600461,,0,ok,b2,7.1851706883109365,7.185170688310954
01023099999,2024,TMP,25089,24,5.946616770852347e-13,2.2255094485259953e-13,52.20871175179686,922.2050495728264,9.22038036782153e-13,7,ok,c,12.374201540814859,12.374201540814886
01023199999,2024,TMP,11970,24,1.6086469568085182e-07,2.2255094485259953e-13,8114555715282269.0,2653.517804825852,1.1861227699464555e-12,4,ILL-CONDITIONED,b2,5.083612534171193,5.083612565048543
01025099999,2024,TMP,24978,24,1.2938943883850901e-13,2.2255094485259953e-13,52.04907239436141,921.0350845713594,3.824435989469139e-13,7,ok,b2,8.698618594268012,8.698618594268062
01026099999,2024,TMP,8393,24,1.104775750635033e-13,2.2255094485259953e-13,52.207565628377,922.2689377929615,7.421841945637648e-14,1,ok,b2,8.895500040608415,8.895500040608457
01027099999,2024,TMP,4913,24,1.150000569733883e-13,2.2255094485259953e-13,74.95653075841105,997.6901629271557,,0,ok,b2,8.755447042873554,8.755447042873618
